City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Fosston 	1,527	$531,772	$571,829	$40,057	7.53%	$374.48	$26.23
Fountain 	410	$61,595	$68,555	$6,960	11.30%	$167.21	$16.98
Foxhome 	116	$24,020	$26,225	$2,205	9.18%	$226.08	$19.01
Franklin 	510	$132,445	$152,058	$19,613	14.81%	$298.15	$38.46
Frazee 	1,350	$429,375	$476,535	$47,160	10.98%	$352.99	$34.93
Freeborn 	297	$58,270	$69,220	$10,950	18.79%	$233.06	$36.87
Freeport 	632	$84,947	$108,215	$23,268	27.39%	$171.23	$36.82
Fridley 	27,208	$759,414	$1,211,026	$451,612	59.47%	$44.51	$16.60
Frost 	198	$49,882	$52,585	$2,703	5.42%	$265.58	$13.65
Fulda 	1,318	$402,389	$446,009	$43,620	10.84%	$338.40	$33.10
Funkley 	5	$141	$141	$0	0.00%	$28.20	$0.00
Garfield 	354	$35,975	$45,797	$9,822	27.30%	$129.37	$27.75
Garrison 	210	$0	$0	$0	0.00%	$0.00	$0.00
Garvin 	135	$35,795	$37,522	$1,727	4.82%	$277.94	$12.79
Gary 	214	$49,407	$51,976	$2,569	5.20%	$242.88	$12.00
Gaylord 	2,305	$768,161	$838,313	$70,152	9.13%	$363.69	$30.43
Gem Lake 	393	$0	$0	$0	0.00%	$0.00	$0.00
Geneva 	555	$64,937	$93,003	$28,066	43.22%	$167.57	$50.57
Genola 	75	$547	$547	$0	0.00%	$7.29	$0.00
Georgetown 	129	$12,022	$15,936	$3,914	32.56%	$123.53	$30.34
Ghent 	370	$78,035	$91,294	$13,259	16.99%	$246.74	$35.84
Gibbon 	772	$216,241	$252,830	$36,589	16.92%	$327.50	$47.40
Gilbert 	1,799	$685,125	$706,175	$21,050	3.07%	$392.54	$11.70
Gilman 	224	$9,574	$17,177	$7,603	79.41%	$76.68	$33.94
Glencoe 	5,631	$1,063,153	$1,294,117	$230,964	21.72%	$229.82	$41.02
Glenville 	643	$181,068	$191,967	$10,899	6.02%	$298.55	$16.95
Glenwood 	2,564	$634,282	$665,853	$31,571	4.98%	$259.69	$12.31
Glyndon 	1,394	$272,438	$346,893	$74,455	27.33%	$248.85	$53.41
Golden Valley 	20,371	$0	$219,081	$219,081	0.00%	$10.75	$10.75
Gonvick 	282	$60,511	$69,371	$8,860	14.64%	$246.00	$31.42
Good Thunder 	583	$146,720	$163,763	$17,043	11.62%	$280.90	$29.23
Goodhue 	1,176	$203,727	$261,661	$57,934	28.44%	$222.50	$49.26
Goodridge 	132	$22,707	$27,950	$5,243	23.09%	$211.74	$39.72
Goodview 	4,036	$138,108	$250,841	$112,733	81.63%	$62.15	$27.93
Graceville 	577	$186,713	$202,157	$15,444	8.27%	$350.36	$26.77
Granada 	303	$91,663	$95,830	$4,167	4.55%	$316.27	$13.75
