City;$2,013;$2,014;Difference;%Chg;GEO.display-label;Pophuman;Population;GEO.id;GEO.id2;2014pclga;2014pcincrease
DULUTH;$27,437,478;$29,030,643;$1,593,165;5.81%;Duluth ;86,265;86265;1600000US2717000;2717000;$336.53;$18.47
DUMONT;$19,699;$19,699;$0;0.00%;Dumont ;100;100;1600000US2717090;2717090;$196.99;$0.00
DUNDAS;$87,420;$149,684;$62,264;71.22%;Dundas ;1,367;1367;1600000US2717126;2717126;$109.50;$45.55
DUNDEE;$21,200;$21,200;$0;0.00%;Dundee ;68;68;1600000US2717144;2717144;$311.76;$0.00
DUNNELL;$61,112;$61,112;$0;0.00%;Dunnell ;167;167;1600000US2717180;2717180;$365.94;$0.00
EAGAN;$0;$0;$0;0.00%;Eagan ;64,206;64206;1600000US2717288;2717288;$0.00;$0.00
EAGLE BEND;$156,373;$172,138;$15,765;10.08%;Eagle Bend ;535;535;1600000US2717342;2717342;$321.75;$29.47
EAGLE LAKE;$510,589;$599,953;$89,364;17.50%;Eagle Lake ;2,422;2422;1600000US2717378;2717378;$247.71;$36.90
EAST BETHEL;$0;$23,470;$23,470;0.00%;East Bethel ;11,626;11626;1600000US2717486;2717486;$2.02;$2.02
EAST GRAND FORKS;$2,471,550;$2,514,148;$42,598;1.72%;East Grand Forks ;8,601;8601;1600000US2717612;2717612;$292.31;$4.95
EAST GULL LAKE;$0;$0;$0;0.00%;East Gull Lake ;1,004;1004;1600000US2717630;2717630;$0.00;$0.00
EASTON;$31,062;$33,834;$2,772;8.92%;Easton ;199;199;1600000US2717738;2717738;$170.02;$13.93
ECHO;$70,726;$73,911;$3,185;4.50%;Echo ;278;278;1600000US2717900;2717900;$265.87;$11.46
