GEO.id,GEO.id2,GEO.display-label,D001
1600000US2732876,2732876,"Kerkhoven city, Minnesota",759
1600000US2732912,2732912,"Kerrick city, Minnesota",65
1600000US2732966,2732966,"Kettle River city, Minnesota",180
1600000US2733056,2733056,"Kiester city, Minnesota",501
1600000US2733110,2733110,"Kilkenny city, Minnesota",134
1600000US2733164,2733164,"Kimball city, Minnesota",762
1600000US2733236,2733236,"Kinbrae city, Minnesota",12
1600000US2733344,2733344,"Kingston city, Minnesota",161
1600000US2733416,2733416,"Kinney city, Minnesota",169
1600000US2733866,2733866,"La Crescent city, Minnesota",4830
1600000US2733920,2733920,"Lafayette city, Minnesota",504
1600000US2734100,2734100,"Lake Benton city, Minnesota",683
1600000US2734136,2734136,"Lake Bronson city, Minnesota",229
1600000US2734172,2734172,"Lake City city, Minnesota",5063
1600000US2734190,2734190,"Lake Crystal city, Minnesota",2549
1600000US2734244,2734244,"Lake Elmo city, Minnesota",8069(r23798)
1600000US2734316,2734316,"Lakefield city, Minnesota",1694
1600000US2734370,2734370,"Lake George CDP, Minnesota",230
1600000US2734478,2734478,"Lake Henry city, Minnesota",103
1600000US2734622,2734622,"Lakeland city, Minnesota",1796
1600000US2734658,2734658,"Lakeland Shores city, Minnesota",311
1600000US2734676,2734676,"Lake Lillian city, Minnesota",238
1600000US2734784,2734784,"Lake Park city, Minnesota",783
1600000US2734865,2734865,"Lake St. Croix Beach city, Minnesota",1051(r23799)
1600000US2734928,2734928,"Lake Shore city, Minnesota",1004
1600000US2735180,2735180,"Lakeville city, Minnesota",55954
1600000US2735198,2735198,"Lake Wilson city, Minnesota",251
1600000US2735288,2735288,"Lamberton city, Minnesota",824
1600000US2735378,2735378,"Lancaster city, Minnesota",340
1600000US2735414,2735414,"Landfall city, Minnesota",686(r23800)
1600000US2735450,2735450,"Lanesboro city, Minnesota",754
1600000US2735558,2735558,"Lansing CDP, Minnesota",181
1600000US2735612,2735612,"Laporte city, Minnesota",111
1600000US2735648,2735648,"La Prairie city, Minnesota",665
1600000US2735702,2735702,"La Salle city, Minnesota",87
1600000US2735720,2735720,"Lastrup city, Minnesota",104
1600000US2735738,2735738,"Lauderdale city, Minnesota",2379
1600000US2736134,2736134,"Le Center city, Minnesota",2499
1600000US2736404,2736404,"Lengby city, Minnesota",86
1600000US2736494,2736494,"Leonard city, Minnesota",41
1600000US2736530,2736530,"Leonidas city, Minnesota",52
1600000US2736548,2736548,"Leota CDP, Minnesota",209
1600000US2736620,2736620,"Le Roy city, Minnesota",929
1600000US2736728,2736728,"Lester Prairie city, Minnesota",1730
1600000US2736746,2736746,"Le Sueur city, Minnesota",4058
1600000US2736800,2736800,"Lewiston city, Minnesota",1620
1600000US2736818,2736818,"Lewisville city, Minnesota",250
1600000US2736836,2736836,"Lexington city, Minnesota",2049
1600000US2737016,2737016,"Lilydale city, Minnesota",623
1600000US2737304,2737304,"Lindstrom city, Minnesota",4442
1600000US2737322,2737322,"Lino Lakes city, Minnesota",20216
1600000US2737412,2737412,"Lismore city, Minnesota",227
1600000US2737448,2737448,"Litchfield city, Minnesota",6726
1600000US2737502,2737502,"Little Canada city, Minnesota",9773
1600000US2737556,2737556,"Little Falls city, Minnesota",8343
1600000US2737592,2737592,"Littlefork city, Minnesota",647
1600000US2737656,2737656,"Little Rock CDP, Minnesota",1208
1600000US2737970,2737970,"Long Beach city, Minnesota",335
1600000US2738006,2738006,"Long Lake city, Minnesota",1768
1600000US2738060,2738060,"Long Prairie city, Minnesota",3458
1600000US2738114,2738114,"Longville city, Minnesota",156
1600000US2738150,2738150,"Lonsdale city, Minnesota",3674
1600000US2738222,2738222,"Loretto city, Minnesota",650
1600000US2738258,2738258,"Louisburg city, Minnesota",47
1600000US2738366,2738366,"Lowry city, Minnesota",299
